      Comparison1   Comparison2  I3D_pcomp_Prediction  I3D_ptarget_Prediction  I3D_pavg_Prediction  I3D_pcomp_MAP_Prediction  I3D_ptarget_MAP_Prediction  I3D_pavg_MAP_Prediction  I3D_pcomp_w_Prediction  I3D_ptarget_w_Prediction  I3D_pavg_w_Prediction  I3D_pcomp_MAP_w_Prediction  I3D_ptarget_MAP_w_Prediction  I3D_pavg_MAP_w_Prediction
44    o2_t2_ap_d1   o2_t2_rp_d1                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
45    o2_t2_ap_d1   o2_t2_rp_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
46    o2_t2_ap_d2   o2_t2_mf_d1                     0                       1                    1                         0                           1                        1                       0                         1                      1                           0                             1                          1
47    o2_t2_ap_d2   o2_t2_mf_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
48    o2_t2_ap_d2   o2_t2_rp_d1                     0                       1                    1                         1                           1                        1                       0                         1                      1                           1                             1                          1
49    o2_t2_ap_d2   o2_t2_rp_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
50    o2_t2_mf_d1   o2_t2_mf_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
51    o2_t2_mf_d1   o2_t2_rp_d1                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
52    o2_t2_mf_d1   o2_t2_rp_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
53    o2_t2_mf_d2   o2_t2_rp_d1                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
54    o2_t2_mf_d2   o2_t2_rp_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
55    o2_t2_rp_d1   o2_t2_rp_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
56    o3_t1_cs_d1   o3_t1_cs_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
57    o3_t1_cs_d1   o3_t2_ap_d1                     0                       0                    0                         0                           1                        0                       0                         0                      0                           0                             1                          0
58    o3_t1_cs_d1   o3_t2_ap_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
59    o3_t1_cs_d1   o3_t2_mf_d1                     1                       0                    0                         1                           0                        0                       1                         0                      0                           1                             0                          0
60    o3_t1_cs_d1   o3_t2_mf_d2                     0                       1                    0                         0                           1                        0                       0                         1                      0                           0                             1                          0
61    o3_t1_cs_d1   o3_t2_rp_d1                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
62    o3_t1_cs_d1   o3_t2_rp_d2                     0                       0                    0                         1                           0                        0                       0                         0                      0                           1                             0                          0
63    o3_t1_cs_d2   o3_t2_ap_d1                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
