      Comparison1   Comparison2  I3D_single_view_pcomp_Prediction  I3D_single_view_pcomp_max_Prediction  I3D_single_view_pcomp_MAP_Prediction  I3D_single_view_pcomp_MAP_max_Prediction  I3D_single_view_ptarget_Prediction  I3D_single_view_ptarget_max_Prediction  I3D_single_view_ptarget_MAP_Prediction  I3D_single_view_ptarget_MAP_max_Prediction  I3D_single_view_avg_Prediction  I3D_single_view_avg_max_Prediction  I3D_single_view_avg_MAP_Prediction  I3D_single_view_avg_MAP_max_Prediction
56    o3_t1_cs_d1   o3_t1_cs_d2                      1.757307e-02                          1.432411e-02                          2.594492e-01                              3.809440e-01                        8.850765e-02                            5.438280e-02                            3.696560e-02                                2.172240e-02                    7.520073e-02                        4.730671e-02                        3.706778e-02                            2.176398e-02
57    o3_t1_cs_d1   o3_t2_ap_d1                      1.049977e-01                          6.819001e-02                          2.109358e-02                              1.794900e-02                        8.772051e-02                            4.223022e-02                            6.163970e-02                                3.706776e-02                    8.835787e-02                        4.310798e-02                        6.126117e-02                            3.698794e-02
58    o3_t1_cs_d1   o3_t2_ap_d2                      4.596334e-03                          2.657113e-03                          4.442420e-03                              2.660730e-03                        6.448816e-02                            4.454125e-02                            2.600264e-02                                2.225880e-02                    4.104345e-02                        2.416644e-02                        2.560320e-02                            2.193153e-02
59    o3_t1_cs_d1   o3_t2_mf_d1                      8.018502e-01                          8.186727e-01                          9.741517e-01                              9.733534e-01                        9.904936e-01                            9.907978e-01                            9.989262e-01                                9.997046e-01                    9.803827e-01                        9.797798e-01                        9.988445e-01                            9.996498e-01
60    o3_t1_cs_d1   o3_t2_mf_d2                      7.517830e-03                          5.661924e-03                          1.604397e-04                              5.675046e-05                        6.220332e-02                            3.947064e-02                            2.109408e-02                                1.330127e-02                    4.716382e-02                        2.991608e-02                        1.486106e-02                            9.031151e-03
61    o3_t1_cs_d1   o3_t2_rp_d1                      9.984703e-01                          9.992456e-01                          9.841847e-01                              9.804039e-01                        9.397720e-01                            9.502498e-01                            8.756829e-01                                9.077421e-01                    9.422002e-01                        9.527485e-01                        8.759933e-01                            9.078785e-01
62    o3_t1_cs_d1   o3_t2_rp_d2                      9.745182e-02                          7.924168e-02                          9.941465e-01                              9.942868e-01                        1.538078e-01                            1.256472e-01                            6.838465e-02                                5.581975e-02                    1.500050e-01                        1.218311e-01                        6.858997e-02                            5.592669e-02
63    o3_t1_cs_d2   o3_t2_ap_d1                      8.676996e-01                          8.343191e-01                          5.794146e-02                              2.884455e-02                        4.975509e-01                            4.339676e-01                            6.311780e-01                                6.341852e-01                    5.437785e-01                        4.756838e-01                        6.289801e-01                            6.332119e-01
64    o3_t1_cs_d2   o3_t2_ap_d2                      2.051795e-01                          1.549267e-01                          1.257648e-02                              4.316661e-03                        4.151737e-01                            4.476955e-01                            4.102071e-01                                5.062352e-01                    3.448400e-01                        3.327693e-01                        4.056769e-01                            5.019601e-01
65    o3_t1_cs_d2   o3_t2_mf_d1                      9.955992e-01                          9.967916e-01                          9.907895e-01                              9.834329e-01                        9.990689e-01                            9.994661e-01                            9.999587e-01                                9.999934e-01                    9.983755e-01                        9.989763e-01                        9.999555e-01                            9.999922e-01
66    o3_t1_cs_d2   o3_t2_mf_d2                      2.974913e-01                          2.815209e-01                          4.578098e-04                              9.221950e-05                        4.058542e-01                            4.167480e-01                            3.595445e-01                                3.777625e-01                    3.783870e-01                        3.831154e-01                        2.815465e-01                            2.905924e-01
67    o3_t1_cs_d2   o3_t2_rp_d1                      9.999726e-01                          9.999890e-01                          9.944016e-01                              9.878497e-01                        9.938154e-01                            9.969981e-01                            9.945802e-01                                9.977483e-01                    9.950364e-01                        9.975434e-01                        9.945802e-01                            9.977476e-01
68    o3_t1_cs_d2   o3_t2_rp_d2                      8.578803e-01                          8.555348e-01                          9.979414e-01                              9.964765e-01                        6.517979e-01                            7.141822e-01                            6.566340e-01                                7.269614e-01                    6.845700e-01                        7.364188e-01                        6.567133e-01                            7.269758e-01
69    o3_t2_ap_d1   o3_t2_ap_d2                      3.786961e-02                          3.512710e-02                          1.715565e-01                              1.273738e-01                        4.175543e-01                            5.139203e-01                            2.889718e-01                                3.716203e-01                    3.063239e-01                        3.547224e-01                        2.870592e-01                            3.686110e-01
70    o3_t2_ap_d1   o3_t2_mf_d1                      9.718263e-01                          9.840499e-01                          9.994286e-01                              9.994999e-01                        9.990780e-01                            9.995907e-01                            9.999294e-01                                9.999886e-01                    9.980644e-01                        9.990711e-01                        9.999245e-01                            9.999865e-01
71    o3_t2_ap_d1   o3_t2_mf_d2                      6.065144e-02                          7.219287e-02                          7.391800e-03                              3.095575e-03                        4.082187e-01                            4.823933e-01                            2.470114e-01                                2.593653e-01                    3.380573e-01                        4.063671e-01                        1.877576e-01                            1.917732e-01
72    o3_t2_ap_d1   o3_t2_rp_d1                      9.998203e-01                          9.999448e-01                          9.996539e-01                              9.996348e-01                        9.938754e-01                            9.976969e-01                            9.907606e-01                                9.961029e-01                    9.940894e-01                        9.977707e-01                        9.908464e-01                            9.961178e-01
73    o3_t2_ap_d1   o3_t2_rp_d2                      4.792680e-01                          5.404454e-01                          9.998731e-01                              9.998950e-01                        6.540179e-01                            7.652112e-01                            5.277355e-01                                6.056458e-01                    6.454940e-01                        7.548741e-01                        5.301727e-01                            6.066642e-01
74    o3_t2_ap_d2   o3_t2_mf_d1                      9.988602e-01                          9.994103e-01                          9.998816e-01                              9.999270e-01                        9.993388e-01                            9.995672e-01                            9.999713e-01                                9.999933e-01                    9.991443e-01                        9.994892e-01                        9.999696e-01                            9.999921e-01
75    o3_t2_ap_d2   o3_t2_mf_d2                      6.212737e-01                          6.812541e-01                          3.471242e-02                              2.083023e-02                        4.903730e-01                            4.685039e-01                            4.466458e-01                                3.719178e-01                    5.362857e-01                        5.546164e-01                        3.647197e-01                            2.889788e-01
76    o3_t2_ap_d2   o3_t2_rp_d1                      9.999929e-01                          9.999980e-01                          9.999283e-01                              9.999467e-01                        9.956016e-01                            9.975653e-01                            9.962243e-01                                9.976916e-01                    9.973813e-01                        9.987733e-01                        9.962941e-01                            9.977299e-01
77    o3_t2_ap_d2   o3_t2_rp_d2                      9.589885e-01                          9.699727e-01                          9.999737e-01                              9.999847e-01                        7.250337e-01                            7.550574e-01                            7.333017e-01                                7.219828e-01                    8.048132e-01                        8.485308e-01                        7.370221e-01                            7.254169e-01
78    o3_t2_mf_d1   o3_t2_mf_d2                      1.868349e-03                          1.259609e-03                          4.257801e-06                              1.553692e-06                        6.362010e-04                            3.815092e-04                            2.316324e-05                                3.983598e-06                    9.894744e-04                        6.360290e-04                        1.745020e-05                            3.193088e-06
79    o3_t2_mf_d1   o3_t2_rp_d1                      9.938385e-01                          9.966030e-01                          6.228152e-01                              5.779950e-01                        1.302518e-01                            1.506699e-01                            7.515013e-03                                2.899126e-03                    2.459560e-01                        2.938459e-01                        8.105446e-03                            3.441110e-03
80    o3_t2_mf_d1   o3_t2_rp_d2                      2.598866e-02                          1.870512e-02                          8.183966e-01                              8.265188e-01                        1.741479e-03                            1.332889e-03                            7.890009e-05                                1.747005e-05                    3.518863e-03                        2.854936e-03                        8.518013e-05                            2.075552e-05
81    o3_t2_mf_d2   o3_t2_rp_d1                      9.999884e-01                          9.999957e-01                          9.999974e-01                              9.999989e-01                        9.957671e-01                            9.978532e-01                            9.969502e-01                                9.986318e-01                    9.969727e-01                        9.984729e-01                        9.978691e-01                            9.990761e-01
82    o3_t2_mf_d2   o3_t2_rp_d2                      9.344453e-01                          9.379420e-01                          9.999991e-01                              9.999997e-01                        7.326446e-01                            7.776322e-01                            7.730601e-01                                8.143181e-01                    7.809574e-01                        8.181381e-01                        8.299799e-01                            8.666712e-01
83    o3_t2_rp_d1   o3_t2_rp_d2                      1.653928e-04                          6.496911e-05                          7.318457e-01                              7.767117e-01                        1.151477e-02                            7.467372e-03                            1.031344e-02                                5.972720e-03                    1.071016e-02                        6.833448e-03                        1.031715e-02                            5.975086e-03
84    o4_t1_cs_d1   o4_t1_cs_d2                      3.624094e-02                          1.086971e-01                          3.588417e-05                              8.656546e-05                        6.928956e-03                            1.081348e-02                            5.418810e-07                                7.797170e-07                    8.806666e-03                        1.538327e-02                        2.323603e-06                            3.010208e-06
85    o4_t1_cs_d1   o4_t2_ap_d1                      1.523640e-01                          1.759346e-01                          5.280346e-04                              4.445766e-04                        2.045554e-01                            1.391223e-01                            2.309247e-04                                2.156321e-04                    1.876138e-01                        1.494369e-01                        4.109473e-04                            3.506498e-04
86    o4_t1_cs_d1   o4_t2_ap_d2                      1.614213e-07                          1.351706e-07                          1.999366e-10                              1.052337e-10                        5.882444e-07                            2.798848e-07                            2.230353e-11                                1.031195e-11                    3.466295e-07                        2.068363e-07                        7.234358e-11                            3.167467e-11
87    o4_t1_cs_d1   o4_t2_mf_d1                      7.971571e-01                          8.470519e-01                          9.978080e-01                              9.991622e-01                        9.834393e-01                            9.810598e-01                            1.101875e-02                                9.540252e-03                    9.263724e-01                        9.323992e-01                        4.789763e-02                            3.677406e-02
